"date_wday",sourcetype,count
friday,"django_access",239
friday,scheduler,2909
friday,"splunk_web_access",11165
friday,"splunk_web_service",994
friday,splunkd,456535
friday,"splunkd-utility-2",72
friday,"splunkd_access",15348
friday,"splunkd_stderr",8
monday,"django_access",366
monday,"django_service",5
monday,scheduler,4287
monday,"splunk_web_access",28740
monday,"splunk_web_service",2235
monday,splunkd,657238
monday,"splunkd-utility-2",126
monday,"splunkd_access",29212
monday,"splunkd_stderr",13
saturday,scheduler,2926
saturday,"splunk_web_access",430
saturday,splunkd,565867
saturday,"splunkd_access",7434
sunday,scheduler,2880
sunday,"splunk_web_access",430
sunday,splunkd,559484
sunday,"splunkd_access",7342
thursday,"django_access",172
thursday,scheduler,2742
thursday,"splunk_web_access",5684
thursday,"splunk_web_service",1140
thursday,splunkd,352773
thursday,"splunkd-utility-2",108
thursday,"splunkd_access",9923
thursday,"splunkd_stderr",11
tuesday,"django_access",238
tuesday,"django_error",1
tuesday,"django_service",1
tuesday,scheduler,2893
tuesday,"splunk_web_access",17257
tuesday,"splunk_web_service",1198
tuesday,splunkd,340044
tuesday,"splunkd-utility-2",72
tuesday,"splunkd_access",17733
tuesday,"splunkd_stderr",8
wednesday,"django_access",378
wednesday,"django_error",2
wednesday,"django_service",12
wednesday,scheduler,3208
wednesday,"splunk_web_access",16504
wednesday,"splunk_web_service",1631
wednesday,splunkd,451124
wednesday,"splunkd-utility-2",126
wednesday,"splunkd_access",20761
wednesday,"splunkd_stderr",15
